PuzzleId,FEN,Moves,Rating,ThemeList
xIDAj,4r1k1/1p5p/1pn3p1/3prp2/3Nn3/2P4P/PP2BPP1/3RRK2 w - - 4 23,e2b5 e4d2 f1g1 e5e1 d1e1 e8e1,1429,"[""crushing"", ""deflection"", ""discoveredAttack"", ""long"", ""master"", ""middlegame""]"
eDkjf,r2qkb1r/pp3pp1/2n1p2p/1B1pPn2/5P2/2P5/PP4PP/RNBQK2R w KQkq - 0 10,e1g1 d8b6 g1h1 b6b5,1479,"[""crushing"", ""fork"", ""master"", ""middlegame"", ""short""]"
zqX9a,r1b1k2r/pppp1p1p/3q1np1/2bNn3/5P2/6N1/PPP3PP/R1BQKB1R w KQkq - 0 11,f4e5 d6e5 d1e2 e5e2 f1e2 f6d5,1507,"[""advantage"", ""exposedKing"", ""long"", ""opening""]"
nSrOk,3r1rk1/1p3ppp/pq4b1/3N4/1P6/PQ2RP2/6P1/3R2K1 b - - 0 27,b6d6 d5e7 g8h8 d1d6,1485,"[""crushing"", ""discoveredAttack"", ""middlegame"", ""short""]"
agYIA,6k1/p1q3r1/1p2R1p1/2p2p2/2P2r2/1P4Q1/P4P1P/1R4K1 w - - 1 30,e6g6 f4g4 g6g4 g7g4 g3g4 f5g4,1554,"[""crushing"", ""endgame"", ""long"", ""pin"", ""xRayAttack""]"
H4opd,1r3k2/5pp1/1PR1p2p/p3N3/1b1P4/8/5PPP/6K1 b - - 6 30,f8e7 c6c7 e7e8 b6b7 b8b7 c7b7,1469,"[""advancedPawn"", ""crushing"", ""endgame"", ""long""]"
kvS2J,2r1r1k1/p5b1/6p1/2pRp2p/2R2p2/1P2B1P1/P1Q2PKP/4q3 w - - 0 30,e3c5 f4f3 g2f3 e1h1 f3e2 h1d5,1829,"[""advantage"", ""attraction"", ""long"", ""middlegame"", ""skewer""]"
pAZDX,8/4r2p/1k6/1p1R4/p3K1P1/2P5/P7/8 w - - 8 42,d5e5 e7e5 e4e5 b6c5,1306,"[""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""rookEndgame"", ""short""]"
hP54H,2r3k1/5pp1/p2R3p/1p3b2/4p3/Q1q1P1BP/P4PP1/6K1 w - - 0 25,a3a6 c3a1 g1h2 c8c1,2646,"[""clearance"", ""crushing"", ""defensiveMove"", ""endgame"", ""short""]"
wCNxB,6k1/q4p2/p5p1/1p1R3p/2r4P/P1P2Q2/5PP1/6K1 b - - 0 32,a7c7 f3f6 g8h7 d5d8 c7d8 f6d8,1803,"[""crushing"", ""endgame"", ""long"", ""quietMove""]"
p8pDq,2r3k1/3r1pB1/pq5p/1p6/3pQ3/P1p3P1/1P5P/2R2R1K b - - 0 28,g8g7 e4g4 b6g6 g4d7 g6e4 h1g1,1303,"[""advantage"", ""endgame"", ""fork"", ""long""]"
aEdM0,4r1k1/p4p2/6p1/5bQ1/5BP1/1P5P/P2p1bBK/2R1q3 w - - 0 31,f4d2 f2g3,1716,"[""master"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
TvPJj,2rr2k1/pb1N1pb1/1q2p2p/6p1/2N1p3/1P4B1/P1Q2PPP/R4RK1 b - - 0 21,d8d7 c4b6 c8c2 b6d7 g7a1 f1a1,1241,"[""advantage"", ""long"", ""middlegame""]"
GUPt0,8/5p1p/4pkp1/8/3KP3/5P1P/6P1/8 b - - 4 51,f6g5 d4e5 g5h4 e5f6,1495,"[""crushing"", ""endgame"", ""master"", ""pawnEndgame"", ""short""]"
cRygr,4rnk1/5qpp/p4N1R/1pr1p1Q1/3nP3/5P2/PP3PK1/1B5R b - - 4 33,g8h8 h6h7 f8h7 h1h7,1240,"[""arabianMate"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
o3TwO,5k2/1p3p2/p2b3p/5n2/P4P2/2P3PP/1P5K/3R4 w - - 1 36,h2g2 f5e3 g2f3 e3d1,699,"[""crushing"", ""endgame"", ""fork"", ""short""]"
XhOLv,3q1rn1/3b1pk1/2n1p1pp/2p1P1N1/5PNQ/2pP1R2/1r4PP/R2B2K1 w - - 0 24,g4h6 g8h6 f3h3 f8h8,1490,"[""crushing"", ""defensiveMove"", ""middlegame"", ""short""]"
Kt5DS,7k/1R6/r7/5bpN/3n4/6P1/1P3R1K/8 w - - 1 47,f2d2 d4f3 h2g2 f3d2,739,"[""advantage"", ""endgame"", ""fork"", ""short""]"
PWYVT,3Q2k1/ppp4p/6p1/8/2P1q3/1P1p2P1/P3r2P/5RK1 b - - 1 30,g8g7 d8f8,1391,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
rwwmY,8/pR6/2p1p3/4k2R/1nP5/1P4b1/r7/5K2 b - - 1 35,e5d6 c4c5,1275,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
A0zvl,8/8/3rkn2/p3p2p/8/1P1B1R2/P3K1P1/8 w - - 1 41,e2e3 d6d3 e3d3 e5e4 d3e3 e4f3,1716,"[""endgame""]"
wgp2c,1nb2brk/r1p2q2/R7/1pN4p/2pQ3P/4P3/PP3PP1/1BR1K3 b - - 0 22,f8g7 a6h6,1080,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove"", ""pin""]"
HcPRF,r1b2rk1/ppp2ppp/2nb1nq1/3Np3/2BP3N/1P6/P1P1QPPP/R1B1K1R1 b Q - 2 11,g6h5 d5f6 g7f6 e2h5,1142,"[""crushing"", ""kingsideAttack"", ""opening"", ""short""]"
Tp1kb,2n5/2P2k1p/4p3/1NBpPpP1/3P2r1/4PK2/8/8 b - - 2 54,g4g5 b5d6 f7e7 d6e4 e7d7 e4g5,2315,"[""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""long""]"
x45wV,5r2/8/R5p1/1K6/4k3/6P1/7P/8 w - - 7 59,a6a5 f8f5 b5a4 f5a5 a4a5 e4f3 a5b4 f3g2,1263,"[""crushing"", ""endgame"", ""rookEndgame"", ""veryLong""]"
Qjsiq,2kr2r1/1pp4p/p6q/2b1P1R1/P2n4/1P3N2/1BPN1KQ1/R7 w - - 0 23,g5g8 d4f3 f2f1 f3d2 f1e2 h6e3,1880,"[""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""exposedKing"", ""long"", ""middlegame""]"
5RkW5,8/3kp3/1n1p2p1/pp3pP1/2pP1n2/P1P1N3/1PKR1P2/5B1r b - - 1 30,b6d5 e3d5 f4d5 f1g2 h1h8 g2d5,1056,"[""advantage"", ""endgame"", ""fork"", ""long""]"
lWVVj,7r/8/k2rpp1p/P1p3pP/1n2P3/2R1KPN1/8/1R6 b - - 2 34,h8c8 b1b4 c5b4 c3c8,1196,"[""advantage"", ""endgame"", ""master"", ""masterVsMaster"", ""short""]"
AkhGA,r4rk1/ppp2ppp/3b4/3p3q/3Qb3/1B3N2/PPP3PP/R1B1R1K1 w - - 1 15,b3d5 e4d5 g2g4 c7c5 g4h5 c5d4,2678,"[""advantage"", ""long"", ""middlegame""]"
o3GKX,2r3k1/1p1Q1pp1/5q1p/4p2P/8/P3PN2/1P3nPK/3R4 b - - 1 35,c8c2 d7e8 g8h7 d1d8 f6d8 e8d8,2013,"[""clearance"", ""crushing"", ""endgame"", ""long"", ""quietMove""]"
Egoro,r5nr/ppqk1pN1/4p3/3pn1P1/6P1/2P5/P1Q2PB1/1R3RK1 w - - 2 19,c2e2 e5f3 g2f3 c7h2,1217,"[""clearance"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""sacrifice"", ""short""]"
BIqJf,8/p2r2pk/2p1b2p/P1P2q1P/4pQ2/4P3/3R1P2/4K1R1 b - - 6 40,d7d2 f4f5 e6f5 e1d2,1354,"[""crushing"", ""endgame"", ""intermezzo"", ""short""]"
sQIiP,1r4k1/5ppp/1r2p3/5q2/3n4/Q1N4P/PP2RPP1/2R3K1 w - - 10 26,e2d2 d4f3 g2f3 f5g5 g1f1 g5d2,1835,"[""advantage"", ""fork"", ""long"", ""middlegame"", ""sacrifice""]"
SvyMv,5nk1/1p4pp/2bQpp2/pqB5/4PPP1/P6P/6BK/8 b - - 4 35,f8d7 d6e6 g8h8 e6e8 d7f8 e8f8,1282,"[""endgame"", ""long"", ""mate"", ""mateIn3""]"
hSkgY,r7/5Rpp/2kb4/2B5/2P5/pP1p2PP/P3p3/1K3R2 w - - 0 33,c5d6 d3d2 b1c2 e2e1q f1e1 d2e1q,1776,"[""advancedPawn"", ""crushing"", ""endgame"", ""long"", ""promotion""]"
a7TJV,5qr1/3b2pk/4p1Rb/1p1p3P/p1pP1P2/P1P2B2/1PK4Q/7R w - - 1 67,h1f1 f8f5 c2c1 h6f4 h2f4 f5f4,1649,"[""advantage"", ""fork"", ""long"", ""middlegame""]"
6f8wG,2Q5/5p1p/p3p1k1/q4n2/P3rp2/3PbP2/1P4PP/R4R1K w - - 0 33,d3e4 f5g3 h2g3 a5h5,1095,"[""clearance"", ""endgame"", ""mate"", ""mateIn2"", ""sacrifice"", ""short""]"
6d9U0,r4rk1/1ppn1p2/p2qp1NP/1b1p3Q/3P4/2P1P3/PP1N1PP1/R3K2R b KQ - 0 16,f7g6 h5g6 g8h8 g6g7,982,"[""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
0W8iZ,1k6/8/P7/3K4/7p/4B1p1/6Pb/8 b - - 1 46,h4h3 e3f4 b8a7 g2h3,2295,"[""bishopEndgame"", ""crushing"", ""endgame"", ""short""]"
X8u61,8/4kppp/8/3P4/3r1P2/pK4P1/R6P/8 w - - 5 31,a2a3 d4d3 b3a2 d3a3 a2a3 e7d6 a3b4 d6d5,1299,"[""crushing"", ""endgame"", ""exposedKing"", ""rookEndgame"", ""veryLong""]"
tFMfb,3k2nr/p3b3/b3q3/3pP2p/B1nP4/2P2Q1P/PP1B2P1/2KR3R w - - 2 26,b2b3 e7a3 c1c2 e6g6 f3d3 c4e3,2125,"[""crushing"", ""exposedKing"", ""long"", ""middlegame"", ""pin"", ""queensideAttack""]"
VjHvT,8/1p6/p4k1p/3p4/2p2Np1/2P1P3/PPKR1bP1/5r2 b - - 7 42,f2g3 f4h5 f6e5 h5g3,1153,"[""advantage"", ""endgame"", ""fork"", ""short""]"
SWukH,r2q1r2/5pk1/3pbbp1/npp1p3/4P1N1/1P1n2PQ/PB1N1P1P/R3R1K1 b - - 6 25,d8d7 h3h6 g7g8 g4f6,963,"[""deflection"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
0vwEG,4r1k1/pp1q1pn1/2p3p1/3b4/3B2P1/2PBR2Q/P1P2P2/6K1 w - - 0 25,h3h6 d7g4 e3g3 e8e1 d3f1 e1f1 g1f1 g4d1,1981,"[""attraction"", ""kingsideAttack"", ""mate"", ""mateIn4"", ""middlegame"", ""veryLong""]"
kXSDB,8/5p1k/4p2p/p5P1/Pqr5/2pRP1P1/2Q1KP2/8 b - - 0 33,h6g5 d3c3 c4e4 f2f3 b4c3 c2c3,1839,"[""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""long""]"
f2eO7,8/pp2kpp1/3qp1p1/3p3n/3P4/1P3QPr/P2N1P2/R1R1KB1r w - - 6 24,e1e2 h5g3 f2g3 h1h2 f1g2 h3g3,2226,"[""advantage"", ""intermezzo"", ""long"", ""middlegame"", ""sacrifice""]"
udvEY,2r5/pp1k2pp/3P4/2PbpN2/4p1P1/4P3/P2K3P/2R5 b - - 4 29,g7g6 f5e7 c8f8 e7d5,1595,"[""advantage"", ""endgame"", ""fork"", ""master"", ""short""]"
BMgV1,2k2r1r/2p4p/1p3q2/pP1Bp1n1/P3P1p1/Q1R5/5PKP/5R2 b - - 2 31,g5f3 f1c1 f3h4 g2h1,2364,"[""crushing"", ""defensiveMove"", ""middlegame"", ""quietMove"", ""short""]"
5UeCv,5r2/3Q3p/1p3kpN/p1p5/2P2pP1/P2P1B1P/1P4K1/4q3 w - - 4 33,h3h4 e1g3 g2f1 g3f3,1202,"[""crushing"", ""deflection"", ""endgame"", ""short""]"
hRPCZ,2n5/5pkp/4b1p1/4Q3/4P2P/5P2/1p1R2PK/2q5 b - - 1 41,g7g8 d2d8,837,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
ZVala,8/8/8/2knNp1p/5Pp1/6P1/2R2K1P/r7 b - - 18 49,c5d4 c2c4,1443,"[""endgame"", ""hookMate"", ""mate"", ""mateIn1"", ""oneMove""]"
TFlHh,1r5r/4kpp1/1pB1b2p/pPn1p3/q1Pp2P1/5N1P/2Q1PP2/2R1K2R b K - 5 20,a4c4 c2c4 e6c4 c1c4,939,"[""advantage"", ""middlegame"", ""short""]"
DWRpN,4k3/ppp1N1b1/4p3/4Pn2/5PqB/5RPr/PP4Q1/3R2K1 w - - 0 28,d1b1 f5h4 g3h4 g4f3 g2f3 h3f3,1763,"[""advantage"", ""long"", ""middlegame""]"
xbrFC,rnbq1rk1/ppp3bp/n2p2p1/3Ppp2/2P1P3/2NBBP2/PP1QN1PP/R3K2R w KQ - 0 11,e3h6 d8h4 g2g3 h4h6,1261,"[""crushing"", ""middlegame"", ""short""]"
yJEyL,4rrk1/pp4pp/4q3/5p2/R1PB2b1/3p4/3P1NPP/Q4KNR w - - 4 20,d4e3 f5f4 e3d4 g4e2,1905,"[""advantage"", ""middlegame"", ""short""]"
dJcEl,r2q2k1/ppp2r2/3b1nQ1/8/2B1p1b1/2PP4/PP3PPP/RN3RK1 b - - 0 17,g8f8 g6f7,677,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
UswG0,r4k2/pp3r2/2p5/3nP3/6Q1/7P/1P4PB/R5K1 w - - 1 31,a1f1 f7f1 g1f1 d5e3 f1e2 e3g4,1358,"[""advantage"", ""attraction"", ""endgame"", ""fork"", ""long""]"
vlc6d,r1b2rk1/pp3Qp1/1q5p/8/5R2/2PB4/P1PB2nP/4R2K b - - 0 21,f8f7 e1e8 f7f8 f4f8,964,"[""mate"", ""mateIn2"", ""middlegame"", ""pillsburysMate"", ""short""]"
E8Vyj,8/4k1p1/7p/4KP1P/8/8/8/8 w - - 5 59,e5f4 e7f6 f4g4 f6e5 f5f6 g7f6,1747,"[""crushing"", ""endgame"", ""long"", ""pawnEndgame"", ""zugzwang""]"
KVPrF,r4rk1/1p1bqpb1/p1n2n1p/3pNP2/6p1/2PB2B1/PP2Q1PP/RN3RK1 w - - 1 18,e5g4 f6g4 e2g4 e7e3,1983,"[""advantage"", ""kingsideAttack"", ""middlegame"", ""short""]"
sfiea,6k1/pp5R/b1p2pBp/2P5/1P6/P1P5/r5PP/6K1 w - - 5 32,g6f5 a2a1 g1f2 a1f1 f2e3 f1f5,1090,"[""advantage"", ""endgame"", ""long"", ""skewer""]"
g2fcM,8/8/6p1/2KpBkPp/4bP1P/8/8/8 w - - 9 60,c5d6 f5g4 f4f5 e4f5 d6d5 g4h4 e5c3 h4g5 d5d4 g5f4,2419,"[""bishopEndgame"", ""crushing"", ""defensiveMove"", ""endgame"", ""veryLong""]"
QmfBz,2rq1k1r/1b1nbp1p/3p4/p1n1pNPP/4P3/1p2BP1B/PPPQN3/2KR3R w - - 0 19,e2c3 b3a2 c3a2 c5b3 c1b1 b3d2,1623,"[""advancedPawn"", ""crushing"", ""long"", ""middlegame"", ""pin"", ""queensideAttack""]"
DG7hR,5k2/6p1/2Q1B2p/3nP3/3P2P1/1q4KP/8/8 w - - 5 47,g3h4 g7g5 h4h5 b3h3 h5g6 d5e7,1980,"[""crushing"", ""deflection"", ""endgame"", ""long""]"
CBQWx,r2q1rk1/p4ppp/8/b2Np2n/1P1pP3/3P3P/P1Q2PP1/R4RK1 b - - 0 20,a8c8 c2c8 d8c8 d5e7 g8h8 e7c8,1412,"[""advantage"", ""attraction"", ""fork"", ""long"", ""middlegame"", ""sacrifice""]"
Q6ckv,4r1k1/1b3rp1/p2p1b1p/1pqNn3/2PNP3/PP3P2/6PP/2RQR2K b - - 0 22,e5d3 d5f6 f7f6 d1d3,1749,"[""advantage"", ""middlegame"", ""short""]"
ic9Kt,1r4k1/5pp1/2pN3p/6b1/p2B1n2/P1P4P/1P2RPP1/6K1 w - - 5 33,e2e8 b8e8 d6e8 f4e2 g1f1 e2d4 c3d4 g5f4,2058,"[""advantage"", ""defensiveMove"", ""endgame"", ""veryLong""]"
m7SpY,8/p3r1k1/1bRB1pp1/2p2b1p/2B5/2P2P2/P5PP/5K2 b - - 4 34,f5d7 c6b6 a7b6 d6e7,1580,"[""crushing"", ""endgame"", ""short""]"
eSFi2,r1q2r1k/pbp2p1p/1p2pPp1/5NQ1/2PP4/3B3P/PP4P1/R4RK1 b - - 0 20,g6f5 g5g7,761,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
SOI9S,r6r/p2bk1pp/8/3pQ3/3Pp3/2P2P2/PP2Bqn1/RNBK4 b - - 2 22,e7d8 c1g5 d8c8 e2a6,1324,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
2EM21,2r3k1/1b3p2/p1q2npQ/1p4N1/4R3/P6P/1P3PP1/R5K1 b - - 0 29,f6e4 h6h7 g8f8 h7f7,1026,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
LsGfB,r4rk1/1pBbbppp/1pn1pn2/1B1p4/3P4/2P2N2/PP1N1PPP/R4RK1 b - - 5 12,c6d4 f3d4 d7b5 d4b5,1337,"[""advantage"", ""hangingPiece"", ""middlegame"", ""short""]"
1AR9e,4r2k/ppp5/5p1p/P1PP1Nq1/1P1P2P1/5Q1P/3r4/6RK w - - 1 43,g1g2 e8e1 h1h2 d2g2,1419,"[""crushing"", ""endgame"", ""kingsideAttack"", ""short""]"
h84Ff,r3k1nr/pb3ppp/2N2b2/3p4/2pP4/8/PPP2PPP/RNB2RK1 w kq - 1 13,c6b4 a7a5 b4d5 b7d5,1774,"[""advantage"", ""middlegame"", ""short"", ""trappedPiece""]"
ZNIwH,2kr3r/pppq2p1/2nppb1p/4P3/2B2P2/2N5/PPPQ2PP/2KR3R b - - 0 13,d6e5 d2d7 d8d7 c4e6,1465,"[""crushing"", ""master"", ""middlegame"", ""pin"", ""queensideAttack"", ""short""]"
bxDNt,8/ppn1b1kq/2p1p3/4P1Pp/3P3Q/P5P1/8/2B2BK1 w - - 1 37,f1e2 h7c2 h4h5 c2c1,1781,"[""advantage"", ""endgame"", ""fork"", ""short""]"
oVPY7,5q1k/ppp3p1/7p/3QP3/3Pp3/2P1P1BP/PP2b1P1/6K1 w - - 0 25,e5e6 f8f1 g1h2 e2f3 g2f3 e4f3 d5f3 f1f3,1741,"[""crushing"", ""endgame"", ""kingsideAttack"", ""master"", ""sacrifice"", ""veryLong""]"
blIks,6r1/1pQb1k2/p2p2p1/2pP1nPp/P3qP1P/1P2p3/1B2B3/3R2K1 b - - 3 34,f7e7 b2f6 e7f8 c7d7,1815,"[""crushing"", ""deflection"", ""middlegame"", ""short""]"
m5Fni,8/7p/8/RP3pp1/4k3/3p4/1n3PPP/5K2 w - - 0 39,f1e1 d3d2 e1d2 b2c4 d2e2 c4a5,1256,"[""advancedPawn"", ""advantage"", ""attraction"", ""endgame"", ""fork"", ""long""]"
YtPlF,7r/1pp2kp1/p1n1p3/3pp3/1PP1P1p1/P2P4/2QNKPq1/R3R3 w - - 0 24,c4d5 c6d4 e2d1 d4c2,1068,"[""advantage"", ""fork"", ""middlegame"", ""short""]"
SuB6O,r5k1/pp3ppp/2p5/2b1r1q1/2Q1N3/6P1/PP3PP1/3R1RK1 b - - 1 19,g5g4 e4f6 g7f6 c4g4,1155,"[""crushing"", ""discoveredAttack"", ""kingsideAttack"", ""middlegame"", ""short""]"
NUQsW,2k1r1r1/pp3p2/2p5/5bNp/3P2nP/1P2P1q1/P2N2B1/2RQ1RK1 w - - 0 20,d1f3 g3h2,907,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
boe56,r1bq1rk1/ppp2ppp/1nnp4/4P3/1b2Q3/2NB1N2/PPPB1PPP/2KR3R b - - 1 10,d6e5 e4h7,595,"[""kingsideAttack"", ""master"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
wsCaY,4q1k1/6p1/4p3/3pPpNP/n1pP1P2/1pP5/1P2Q1K1/8 w - - 2 39,g2h3 a4b2 e2b2 e8h5 h3g3 h5g4,1802,"[""crushing"", ""deflection"", ""endgame"", ""exposedKing"", ""long""]"
ZyAvs,6k1/2Q2pp1/p4r2/3P4/8/P1P2KPq/1P3P2/1R3R1r w - - 5 29,f3e3 h1f1 b1f1 h3f1,1162,"[""crushing"", ""endgame"", ""short""]"
KRdTa,3r1r2/k1p5/pp1q1p1p/3P2bP/N7/2P5/PP2RQ2/1K1R4 w - - 4 38,e2e6 d6e6 d5e6 d8d1,1472,"[""crushing"", ""discoveredAttack"", ""middlegame"", ""short""]"
8bSuR,2rq1b1r/6pk/3p3B/pppQ1N2/8/1PPP4/1P4PP/R6K b - - 0 23,g7h6 d5f7 f8g7 f7g7,926,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
2SX7C,7k/p6p/7r/7r/3pN3/P2P1nP1/2P2R1P/1R5K w - - 5 39,f2f3 h5h2 h1g1 h2h1 g1g2 h6h2,1659,"[""blindSwineMate"", ""endgame"", ""long"", ""mate"", ""mateIn3""]"
tQu5I,3R4/4pr1k/1p2b1pp/q3P3/2P5/5BQ1/6PP/r2R3K w - - 1 38,f3e4 f7f1 d1f1 a1f1,1696,"[""backRankMate"", ""master"", ""masterVsMaster"", ""mate"", ""mateIn2"", ""middlegame"", ""short"", ""xRayAttack""]"
Bblmx,6R1/8/2K2p2/5k2/6p1/4P2p/8/8 w - - 0 63,c6d5 h3h2 g8h8 g4g3,1042,"[""advancedPawn"", ""crushing"", ""endgame"", ""rookEndgame"", ""short""]"
TxoWk,2q1Q1r1/7k/2pQR2p/2Bp1p2/pP1P4/P7/5Pr1/6K1 w - - 0 36,g1f1 g2g1 f1e2 g8e8,2117,"[""crushing"", ""master"", ""masterVsMaster"", ""middlegame"", ""short""]"
q9IyY,r4rk1/p5pp/2p1bp2/2pp1P2/6P1/1P1P2qP/P1PNQ3/R3K2R w KQ - 1 19,e2f2 g3e5 e1f1 e5a1,1278,"[""crushing"", ""fork"", ""middlegame"", ""short""]"
1eny1,2kr2r1/p1p1q3/1P1p3p/1P2p3/2Pnn1p1/8/Q2B1PPP/R3NR1K b - - 0 26,a7b6 a2a8 c8d7 a8e4,1711,"[""crushing"", ""fork"", ""master"", ""masterVsMaster"", ""middlegame"", ""short""]"
aeWSD,r4rk1/1p3pp1/2p1b2p/3pQ2P/p2P2P1/2qB4/P1P2P2/2KR3R b - - 0 19,a4a3 g4g5 a8a4 g5h6 c3a1 c1d2 a1d4 e5d4,2245,"[""advantage"", ""middlegame"", ""veryLong""]"
NAQ70,8/6p1/4pk2/1r5p/4PK2/6RP/6P1/8 w - - 0 47,h3h4 e6e5 f4f3 b5b3 f3f2 b3g3,1196,"[""crushing"", ""endgame"", ""long"", ""rookEndgame""]"
Yp5E6,1rq1r1k1/4pp1p/b1Pp2p1/Q2P4/2PB4/7P/P4PP1/1BR2nK1 b - - 0 28,f1d2 a5d2 b8b1 c1b1,1099,"[""advantage"", ""hangingPiece"", ""middlegame"", ""short""]"
ZudgO,2k5/1pp2r2/1b1Nq3/pQ4B1/3PP3/2P5/PP2b1PP/6K1 b - - 0 26,e6d6 b5e8 d6d8 e8d8,1676,"[""endgame"", ""fork"", ""mate"", ""mateIn2"", ""short""]"
FSGUl,5r1k/8/3p3p/5RpP/5KP1/3Q1P2/8/4q3 w - g6 0 56,h5g6 e1e5,1535,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove"", ""pin""]"
hnBhJ,3q2k1/pp3pp1/2p1r2p/3pNr2/3PnP2/P3P2N/1P4Q1/2R1R1K1 w - - 3 29,g2g4 f5e5 d4e5 e6g6 g4g6 f7g6,1696,"[""advantage"", ""long"", ""middlegame"", ""pin"", ""sacrifice""]"
yQP5n,8/1r4p1/2p2p1p/4p3/p1k1P2P/P4P2/2R3P1/2K5 b - - 2 47,c4b3 c2b2 b3c4 b2b7,1042,"[""crushing"", ""endgame"", ""rookEndgame"", ""short"", ""skewer""]"
o6f55,1rr5/2n1kp2/3pp1p1/1P5p/2RRP3/1PN4P/4KPP1/8 w - - 5 32,c4c6 c7b5 c6c8 b5d4 e2d3 b8c8,1772,"[""crushing"", ""endgame"", ""long"", ""master""]"
OmlKQ,4r3/3n1kpp/1ppq1pn1/p2p4/P2P4/2PQ1NPP/1P2N1PK/5R2 b - - 1 22,d6e6 f3g5 f7e7 g5e6,1002,"[""crushing"", ""master"", ""middlegame"", ""pin"", ""short""]"
gmRAL,6r1/3Q2pk/5B1p/p2p3P/4p1R1/3nP1P1/q1r2P2/5RK1 b - - 0 39,c2f2 g4g7 g8g7 d7g7,1245,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
TzqDR,3r2k1/3n1pp1/3Ppn1p/6q1/BQN1P3/5P2/1P4PP/3R2K1 w - - 1 31,b4b7 g5c5 g1h1 c5c4,1927,"[""advantage"", ""fork"", ""middlegame"", ""short""]"
9bnkH,r4k2/p3n1b1/2pRbq1r/4N1pp/8/2P3BP/PPQ2PP1/2KR4 b - - 5 20,a8e8 e5d7 e6d7 d6f6,1489,"[""crushing"", ""fork"", ""master"", ""middlegame"", ""short""]"
XCgM9,r2q3r/pp1nkp1b/2p1Nn1p/8/2BP1b1P/2P5/PP2QPP1/R1B1K2R b KQ - 0 14,f7e6 e2e6 e7f8 e6f7,1057,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
XvrGY,4r2k/2p5/8/5Qp1/1qPPnp2/7P/6PB/4R1K1 w - - 1 30,e1e4 b4b1 g1f2 b1e4 f5e4 e8e4,1561,"[""crushing"", ""endgame"", ""long""]"
LgOz8,4r1k1/R4ppp/2p1q3/1p1n4/3P4/2P4P/1P3QP1/2BK4 b - - 0 28,e6e4 f2f7 g8h8 f7g7,1098,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
QtPYi,2r5/pp2p1Q1/q2p2p1/3kB2p/6bP/8/PPN5/1K5R b - - 0 27,d6e5 c2b4 d5d6 b4a6,1560,"[""crushing"", ""endgame"", ""fork"", ""short""]"
RMaAW,8/8/8/8/2bB4/1kp3R1/2r2KPP/8 w - - 10 53,f2e1 c2e2 e1d1 e2d2,1924,"[""crushing"", ""endgame"", ""short""]"
obqlN,1r3rk1/p2B2pp/5p2/2qb1P2/2p3P1/6QP/PP5K/3RR3 w - - 2 27,d1d5 b8b2 d5d2 b2d2,1564,"[""crushing"", ""master"", ""middlegame"", ""short""]"
LkDSB,6k1/B4p2/3p2p1/4b2p/2q1P1nP/2N4R/P2Q1PP1/6K1 w - - 0 26,h3f3 e5h2 g1h1 c4f1,1111,"[""master"", ""masterVsMaster"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
ukfYb,6k1/1p3p2/4r1p1/p2p2bp/3P4/PrP1N2P/1PR2KP1/4R3 w - - 2 28,e3d5 g5h4 g2g3 h4g3 f2g3 e6e1,1564,"[""advantage"", ""deflection"", ""endgame"", ""long""]"
Bmp9y,8/pp2p1bk/q1p3p1/7P/2n2rQ1/1BP5/PP6/2KR4 w - - 0 27,g4f4 g7h6 h5g6 h7g7 f4h6 g7h6,1978,"[""advantage"", ""defensiveMove"", ""endgame"", ""long"", ""pin""]"
QXOZ9,4k3/8/2p1p3/2P1K3/3P2R1/8/8/3r4 b - - 0 61,e8f7 e5d6 e6e5 d6e5 f7e7 g4g7 e7d8 e5d6 d1d4 d6c6,2010,"[""crushing"", ""endgame"", ""rookEndgame"", ""veryLong""]"
